wrinklers,buff_cycles,buff_percent,time_for_cycles_s,time_left_clicking_s,total_clicks,cookies_during_buff,final_cookies
2,12,1200,3.0,7.0,700.0,8190.0,9172.800000000001
2,13,1300,3.25,6.75,675.0,8505.0,9525.6
2,14,1400,3.5,6.5,650.0,8775.0,9828.000000000002
2,15,1500,3.75,6.25,625.0,9000.0,10080.000000000002
2,16,1600,4.0,6.0,600.0,9180.0,10281.6
2,17,1700,4.25,5.75,575.0,9315.0,10432.800000000001
2,18,1800,4.5,5.5,550.0,9405.0,10533.6
2,19,1900,4.75,5.25,525.0,9450.0,10584.000000000002
2,20,2000,5.0,5.0,500.0,9450.0,10584.000000000002
2,21,2100,5.25,4.75,475.0,9405.0,10533.6
2,22,2200,5.5,4.5,450.0,9315.0,10432.800000000001
2,23,2300,5.75,4.25,425.0,9180.0,10281.6
2,24,2400,6.0,4.0,400.0,9000.0,10080.000000000002
2,25,2500,6.25,3.75,375.0,8775.0,9828.000000000002
2,26,2600,6.5,3.5,350.0,8505.0,9525.6
2,27,2700,6.75,3.25,325.0,8190.0,9172.800000000001
2,28,2800,7.0,3.0,300.0,7830.0,8769.6
2,29,2900,7.25,2.75,275.0,7425.0,8316.0
2,30,3000,7.5,2.5,250.0,6975.0,7812.000000000001
2,31,3100,7.75,2.25,225.0,6480.0,7257.6
2,32,3200,8.0,2.0,200.0,5940.0,6652.8
2,33,3300,8.25,1.75,175.0,5355.0,5997.6
2,34,3400,8.5,1.5,150.0,4725.0,5292.000000000001
2,35,3500,8.75,1.25,125.0,4050.0,4536.0
2,36,3600,9.0,1.0,100.0,3330.0,3729.6000000000004
2,37,3700,9.25,0.75,75.0,2565.0,2872.8
2,38,3800,9.5,0.5,50.0,1755.0,1965.6000000000001
2,39,3900,9.75,0.25,25.0,900.0,1008.0000000000001
2,40,4000,10.0,0.0,0.0,0.0,0.0
3,1,100,0.25,9.75,975.0,1657.5,2229.3375
3,2,200,0.5,9.5,950.0,2422.5,3258.2625
3,3,300,0.75,9.25,925.0,3145.0,4230.025
3,4,400,1.0,9.0,900.0,3825.0,5144.625
3,5,500,1.25,8.75,875.0,4462.5,6002.0625
3,6,600,1.5,8.5,850.0,5057.5,6802.3375
3,7,700,1.75,8.25,825.0,5610.0,7545.45
3,8,800,2.0,8.0,800.0,6120.0,8231.4
3,9,900,2.25,7.75,775.0,6587.5,8860.1875
3,10,1000,2.5,7.5,750.0,7012.5,9431.8125
3,11,1100,2.75,7.25,725.0,7395.0,9946.275
3,12,1200,3.0,7.0,700.0,7735.0,10403.574999999999
3,13,1300,3.25,6.75,675.0,8032.5,10803.7125
3,14,1400,3.5,6.5,650.0,8287.5,11146.6875
3,15,1500,3.75,6.25,625.0,8500.0,11432.5
3,16,1600,4.0,6.0,600.0,8670.0,11661.15
3,17,1700,4.25,5.75,575.0,8797.5,11832.637499999999
3,18,1800,4.5,5.5,550.0,8882.5,11946.9625
3,19,1900,4.75,5.25,525.0,8925.0,12004.125
3,20,2000,5.0,5.0,500.0,8925.0,12004.125
3,21,2100,5.25,4.75,475.0,8882.5,11946.9625
3,22,2200,5.5,4.5,450.0,8797.5,11832.637499999999
3,23,2300,5.75,4.25,425.0,8670.0,11661.15
3,24,2400,6.0,4.0,400.0,8500.0,11432.5
3,25,2500,6.25,3.75,375.0,8287.5,11146.6875
3,26,2600,6.5,3.5,350.0,8032.5,10803.7125
